device_name,datetime,pos_uncertainty,distance,location,neighborhood
ARTYIPAL,2/2/2023 13:04,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:04,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:04,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:04,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:04,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:04,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:04,8,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:04,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:04,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:04,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:04,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:04,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:04,8,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:04,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:04,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:04,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:05,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:05,8,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:05,8,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:05,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:05,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:05,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:05,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:05,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:05,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:05,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:05,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:05,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:05,9,6.948846425,1,Jericho
ARTYIPAL,2/2/2023 13:06,15,20.60000518,1,Jericho
ARTYIPAL,2/2/2023 13:06,15,20.60000518,1,Jericho
ARTYIPAL,2/2/2023 13:06,10,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:06,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:06,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:06,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:06,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:06,8,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:06,8,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:06,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:07,8,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:07,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:07,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:07,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:07,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:07,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:07,8,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:07,8,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:07,8,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:07,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:07,8,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:07,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:07,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:07,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:07,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:07,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:08,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:08,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:08,8,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:08,8,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:08,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:08,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:08,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:08,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:08,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:08,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:08,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:08,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:08,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:08,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:08,9,7.563462226,1,Jericho
ARTYIPAL,2/2/2023 13:08,9,7.563462226,1,Jericho
ECSFFIUV,2/2/2023 13:04,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:04,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:04,9,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:04,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:04,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:04,9,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:04,9,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:04,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:04,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:04,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:04,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:04,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:04,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:04,9,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:04,9,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:05,9,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:05,9,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:05,9,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:05,9,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:05,9,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:05,9,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:05,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:05,9,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:05,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:05,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:05,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:05,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:05,9,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:05,7,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:05,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:06,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:06,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:06,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:06,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:06,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:06,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:06,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:06,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:06,7,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:06,7,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:06,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:06,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:06,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:06,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:06,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:06,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:07,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:07,7,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:07,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:07,7,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:07,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:07,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:07,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:07,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:07,9,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:07,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:07,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:07,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:07,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:07,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:07,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:07,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:08,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:08,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:08,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:08,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:08,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:08,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:08,8,11.36652453,1,Jericho
ECSFFIUV,2/2/2023 13:08,8,2.997317625,1,Jericho
ECSFFIUV,2/2/2023 13:08,14,1.96917304,1,Jericho
SGMUJTSX,2/2/2023 13:04,8,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:04,8,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:04,8,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:04,8,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:04,8,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:04,8,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:04,8,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:04,8,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:04,8,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:04,8,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:04,11,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:04,9,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:04,9,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:04,9,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:04,9,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:04,11,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:05,9,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:05,9,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:05,8,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:05,9,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:05,9,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:05,8,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:05,8,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:05,8,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:05,8,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:05,8,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:05,9,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:05,9,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:05,9,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:05,8,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:06,9,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:06,7,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:06,8,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:06,8,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:06,7,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:06,9,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:06,7,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:06,7,10.0173512,1,Jericho
SGMUJTSX,2/2/2023 13:07,13,4.898243617,1,Jericho
SGMUJTSX,2/2/2023 13:08,8,3.537745219,1,Jericho
SGMUJTSX,2/2/2023 13:08,16,10.12267877,1,Jericho
SGMUJTSX,2/2/2023 13:08,9,3.537745219,1,Jericho
SGMUJTSX,2/2/2023 13:08,8,3.537745219,1,Jericho
SGMUJTSX,2/2/2023 13:08,8,3.537745219,1,Jericho
SGMUJTSX,2/2/2023 13:08,8,3.537745219,1,Jericho
SGMUJTSX,2/2/2023 13:08,8,3.537745219,1,Jericho
SGMUJTSX,2/2/2023 13:08,8,3.537745219,1,Jericho
SGMUJTSX,2/2/2023 13:08,9,3.537745219,1,Jericho
SGMUJTSX,2/2/2023 13:08,9,3.537745219,1,Jericho
SGMUJTSX,2/2/2023 13:08,9,3.537745219,1,Jericho
SGMUJTSX,2/2/2023 13:08,9,3.537745219,1,Jericho
SGMUJTSX,2/2/2023 13:08,9,3.537745219,1,Jericho
SGMUJTSX,2/2/2023 13:08,10,3.537745219,1,Jericho
XUKLXPXF,2/2/2023 13:04,7,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:04,7,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:04,7,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:04,7,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:04,7,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:04,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:04,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:04,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:04,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:04,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:04,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:04,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:04,9,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:04,9,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:04,9,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:05,9,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:05,9,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:05,9,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:05,9,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:05,9,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:05,9,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:05,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:05,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:05,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:05,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:05,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:05,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:05,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:05,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:05,7,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:05,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:06,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:06,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:06,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:06,7,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:06,7,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:06,7,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:06,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:06,7,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:06,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:06,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:06,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:06,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:06,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:06,7,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:06,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:06,7,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:07,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:07,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:07,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:07,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:07,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:07,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:07,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:07,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:07,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:07,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:07,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:07,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:07,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:07,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:07,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:08,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:08,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:08,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:08,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:08,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:08,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:08,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:08,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:08,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:08,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:08,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:08,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:08,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:08,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:08,8,8.367713761,1,Jericho
XUKLXPXF,2/2/2023 13:08,8,8.367713761,1,Jericho
ARTYIPAL,2/2/2023 13:56,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:56,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:56,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:56,9,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:56,9,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:56,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:56,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:56,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:56,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:56,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:56,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:56,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:56,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:56,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:56,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:57,9,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:57,9,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:57,9,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:57,9,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:57,11,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:57,11,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:57,9,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:57,11,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:57,11,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:57,11,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:57,11,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:57,11,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:57,11,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:57,9,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:57,11,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:57,9,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:58,9,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:58,11,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:58,9,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:58,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:58,9,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:58,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:58,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:58,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:58,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:58,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:58,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:58,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:58,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:58,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:58,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:58,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:59,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:59,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:59,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:59,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:59,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:59,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:59,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:59,9,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:59,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:59,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:59,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 13:59,8,7.876869619,2i,Jericho
ARTYIPAL,2/2/2023 14:00,12,7.609707167,2i,Jericho
ARTYIPAL,2/2/2023 14:00,15,7.425840872,2i,Jericho
ARTYIPAL,2/2/2023 14:00,12,7.609707167,2i,Jericho
ARTYIPAL,2/2/2023 14:00,9,7.966897937,2i,Jericho
ARTYIPAL,2/2/2023 14:00,8,7.966897937,2i,Jericho
ARTYIPAL,2/2/2023 14:00,8,7.966897937,2i,Jericho
ARTYIPAL,2/2/2023 14:00,8,7.966897937,2i,Jericho
ARTYIPAL,2/2/2023 14:00,8,7.966897937,2i,Jericho
ARTYIPAL,2/2/2023 14:00,8,7.966897937,2i,Jericho
ARTYIPAL,2/2/2023 14:00,8,7.966897937,2i,Jericho
ECSFFIUV,2/2/2023 13:56,11,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:56,9,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:56,8,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:56,9,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:56,9,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:56,9,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:56,9,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:56,9,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:56,8,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:56,8,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:56,8,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:56,8,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:56,8,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:56,8,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:56,8,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:57,9,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:57,8,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:57,8,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:57,8,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:57,8,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:57,9,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:57,9,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:57,9,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:57,8,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:57,8,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:57,8,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:57,8,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:57,8,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:57,9,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:57,9,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:57,9,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:58,9,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:58,8,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:58,8,5.745967176,2i,Jericho
ECSFFIUV,2/2/2023 13:58,10,5.745967176,2i,Jericho
